StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,info,consent,age,gender,gender_3_TEXT,nationality,education,education_6_TEXT,religion,religion_7_TEXT,Q171_1,confirm_country,tr_Ju1,tr_reason,tr_conf1,tr_ca1,tr_still1,tr_ca_reason1,tr_ca2,tr_still2,tr_ca_reason2,tr_ca3,tr_still3,tr_ca_reason3,tr_CS,tr_reason_CS,tr_ju2,tr_conf2,tr_chmind,tr_confused,tr_irritated,tr_based_reason,tr_based_gut,pr_Ju1,pr_reason,pr_conf1,pr_ca1,pr_still1,pr_ca_reason1,pr_ca2,pr_still2,pr_ca_reason2,pr_ca_3,pr_still3,pr_ca_reason3,pr_CS,pr_CS_reason,pr_Ju2,pr_conf2,pr_chmind,pr_confused,pr_irritated,pr_based_reason,pr_based_gut,hz_ju1,hz_reason,hz_conf1,hz_ca1,hz_still1,hz_ca_reason1,hz_ca2,hz_still2,hz_ca_reason2,hz_ca3,hz_still3,hz_ca_reason3,hz_CS,hz_reason_CS,HZ_ju2,hz_conf2,hz_chmind,hz_confused,hz_irritated,hz_based_reason,hz_based_gut,ca_ju1,ca_reason,ca_conf1,ca_ca1,ca_still1,ca_ca_reason1,ca_ca2,ca_still2,ca_ca_reason2,ca_ca3,ca_still3,ca_ca_reason3,ca_CS,ca_reason_CS,ca_ju2,ca_conf2,ca_chmind,ca_confused,ca_irritated,ca_based_reason,ca_based_gut,MLQ1,MLQ2,MLQ3,MLQ4,MLQ5,MLQ6,MLQ7,MLQ8,MLQ9,Q146,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12,ICE13,ICS14,ICS15,ICS16
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Dear Participant, 

 

You are invited to take part in a study investigating the process by which people make moral judgements. Specifically, we are investigating if previous findings on moral judgements can generalise to populations from countries in the Middle East and North Africa. This information sheet will tell you what the study is about, and the possible risk and benefits associated with it. If you agree to take part, we will ask you to complete a Consent Form, declaring that you consent to take part.





What is the study about?

This study aims to investigate the process by which people make moral judgements.

 

What will I have to do?

Your participation is entirely voluntary. If you initially decide to take part, you can subsequently change your mind and withdraw from the study at any time and without the need to give any reason or justify your decision.

If you agree to participate you will be asked a series of questions relating to moral judgements. You will be presented with four moral scenarios and you will be asked to rate the behaviour of the characters described in the scenario.  You will then be asked to complete several standardised questionnaires. The entire study should be finished within fifteen to twenty minutes.





What are the benefits?

Studies like these can make an important contribution to our understanding of the factors affecting how people make decisions relating to moral issues. As such, the findings from this study may be presented at national and international conferences and may be submitted for publication in peer-reviewed journals. However, no individual participant will be identified in any publication or presentation. Individuals will not be offered any monetary or other rewards for their participation.





What are the risks?

This study is investigating the factors influencing the making of moral judgements. The scenarios you will be presented with involve taboo behaviours that may cause offence or distress. This may make you uncomfortable, or it may be upsetting or distressing to you.  The disturbing nature of the scenarios may be compared with what you might expect from watching an 18 rated movie. You are reminded that participation is voluntary, and you may withdraw at any time.





What if I do not want to take part?

Participation is voluntary so you do not have to take part in the study if you do not want to; there is no penalty for not participating.





What happens to the information?

Electronic data will be stored in a password protected database and will be held for a period of 7 years. Anonymised data will be stored indefinitely and may be made available to other researchers in the field through the Open Science Framework.  The Open Science Framework (OSF) is an open source software project that facilitates open collaboration in science research.  Researchers can upload data, analysis and other research materials, making them publicly available for use by other researchers in the field.  The research will act in accordance to the data protection act.



 What happens if I change my mind during the study?

At any stage should you feel that you want to stop taking part in the study, you are free to stop and take no further part.  There are no consequences for changing your mind about being in the study.



Who can I contact if I have any questions or want to find out more about the study?

If you have any further questions about the research you can contact:

Principal Investigator

Cillian McHugh

Department of Psychology, University of Limerick.

(061) 213073

cillian.mchugh@ul.ie;



In the UAE, the study is being administered in collaboration with Middlesex University Dubai, by Ayah Alatasi, Dana Dasmal, Djillianne Page, Maria Diab, Ashraf Khairi, and Lisa De Ruiter under the supervision of:



Dr. Nishtha Lamba (N.Lamba@mdx.ac.ae)

 

Thank you for taking the time to read this. I would be grateful if you would consider participating in this study.

Yours sincerely, 

Cillian McHugh",Do you consent to take part in the study?,Please specify your age,What gender do you identify as - Selected Choice,What gender do you identify as - Other (Please Specify) - Text,Please indicate your nationality/country of origin:,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Other (Please Specify) - Text,"If applicable, please specify your relegion: - Selected Choice","If applicable, please specify your relegion: - Other (Please Specify) - Text",Please rank your personal level of religiosity on a scale of 1 (not religious at all) to 10 (highly religious). - Rank level of religiosity,Please confirm that you are from a country in the Middle East or North Africa,"A Trolley is hurling down a track towards five people. It will kill
them all on impact. Paul is on a bridge under which it will pass. He can stop
it by putting something very heavy in front of it. As it happens, there is a
very fat man next to him - Paul’s only way to stop the trolley is to push him
over the bridge and onto the track, killing him to save five. Paul decides to
push the man. 
How right or wrong would you rate the actions of Paul?",Please provide a reason for your answer,How confident are you about your judgement?,Do you accept that five people would have died if Paul did not push the man?,Do you (still) think it is wrong?,Do you have a reason for your judgement?,"And this man is the only way available to stop the
trolley? (Paul does not weigh enough)",Do you (still) think it is wrong?,Do you have a reason for your judgement?,"Do you agree that in stopping the trolley Paul saved
the lives of five people?",Do you (still) think it is wrong?,Do you have a reason for your judgement?,"Pushing one man in front of the trolley saves the lives of five people, and there was no other option to save them otherwise, how can there be anything wrong with Paul's actions?",Please provide your reason below,How right or wrong would you rate the actions of Paul?,How confident are you about your judgement?,How much did you change your mind?,How confused were you?,How irritated were you?,How much was your judgement based on reason?,"How much was your judgement based on ""gut-feeling""?","A woman was dying, and on her deathbed she asked her son (James) to promise that he would visit her grave every week. The son loved his mother very much, so he promised to visit her grave every week. But after the mother died, the son didn't keep his promise, because he was very busy. 

How right or wrong would you rate the actions of James?",Please provide a reason for your answer,How confident are you about your judgement?,Do you accept that James' might genuinely have not enough time to visit his mother's grave every week?,Do you (still) think it is wrong?,Do you have a reason for your judgement?,Do you accept that nobody was harmed by James failing to visit his mother's grave?,Do you (still) think it is wrong?,Do you have a reason for your judgement?,Do you agree that James should be free to deal with his grief in his own way?,Do you (still) think it is wrong?,Do you have a reason for your judgement?,"James was only trying to get his own life back to normal after the passing of his mother.

How can there be anything wrong with what he did?",Please provide your reason below,How right or wrong would you rate the actions of James?,How confident are you about your judgement?,How much did you change your mind?,How confused were you?,How irritated were you?,How much was your judgement based on reason?,"How much was your judgement based on ""gut-feeling""?","In Europe, a woman was near death from a very bad disease, a special
kind of cancer. There was one drug that doctors thought might save her. It was
a form of radium for which a druggist was charging ten times what the drug cost
him to make. The sick woman’s husband, Heinz, went to everyone he knew to
borrow the money, but he could only get together about half of what it costs.
He told the druggist that his wife was dying and asked him to sell it cheaper
or let him pay later. But the druggist said, “No, I discovered the drug and I’m
going to make money from it.” So, Heinz got desperate and broke into the man’s
store to steal the drug for his wife. The druggist had Heinz arrested and
charged. 
How right or wrong would you rate the actions of the druggist?",Please provide a reason for your answer,How confident are you about your judgement?,Do you agree that the druggist has to make a living?,Do you (still) think it is wrong?,Do you have a reason for your judgement?,"And do you accept that Heinz broke into the druggist’s
store?",Do you (still) think it is wrong?,Do you have a reason for your judgement?,And do you accept that he stole from him?,Do you (still) think it is wrong?,Do you have a resaon for your judgement?,"The druggist discovered the drug and had the right to sell it at the price he desired, Heinz broke into the store and stole the drug, how can there be anything wrong with what the druggist did?",Please provide your reason below,How right or wrong would you rate the actions of the druggist?,How confident are you about your judgement?,How much did you change your mind?,How confused were you?,How irritated were you?,How much was your judgement based on reason?,"How much was your judgement based on ""gut-feeling""?","A family's dog was killed by a car in front of their house. They had heard that dog meat was delicious, so they cut up the dog's body and cooked it and ate it for dinner. The dog had died as a result of the the car accident, and they cooked the meat thoroughly, so there was no risk of disease.

 

 

 

How right or wrong would you rate the actions of the family?",Please provide a reason for your answer,How confident are you about your judgement?,Do you agree that the family had the right to dispose of the body of their dog in a manner that they choose?,Do you (still) think it is wrong?,Do you have a reason for your judgement?,Do you accept that the death of the dog was beyond the control of the family?,Do you (still) think it is wrong?,Do you have a reason for your judgement?,"And do you accept that there was no risk of
disease?",Do you (still) think it is wrong?,Do you have a resaon for your judgement?,"The dog was already dead and there was no risk of disease.

How can there be anything wrong with what the family did?",Please provide your reason below,How right or wrong would you rate the actions of the family?,How confident are you about your judgement?,How much did you change your mind?,How confused were you?,How irritated were you?,How much was your judgement based on reason?,"How much was your judgement based on ""gut-feeling""?",I understand my life's meaning,I am looking for something that makes my life feel meaningful,I am always looking to find my life's purpose,My life has a clear sense of purpose,I have a good sense of what makes my life meaningful,I have discovered a satisfying life purpose,I am always searching for something that makes my life feel significant,I am seeking a purpose or mission for my life,My life has no clear purpose,I am searching for meaning in my life,Parents and children must stay together as much as possible,"It is my duty to take care of my family, even when I have to sacrifice what I want","Family members should stick together, no matter what sacrifices are required",It is important to me that I respect the decisions made by my groups,"If a coworker gets a prize, I would feel proud",The well-being of my coworkers is important to me,"To me, pleasure is spending time with others",I feel good when I cooperate with others,It is important that I do my job better than others,Winning is everything,Competition is the law of nature,"When another person does better than I do, I get tense and aroused",I'd rather depend on myself than others,I rely on myself most of the time; I rarely rely on others,"I often do ""my own thing.""","My personal identity, independent of others, is very important to me"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID156""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_3_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_6_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_7_TEXT""}","{""ImportId"":""QID182_1""}","{""ImportId"":""QID158""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID159""}","{""ImportId"":""QID160_TEXT""}","{""ImportId"":""QID161""}","{""ImportId"":""QID162""}","{""ImportId"":""QID163""}","{""ImportId"":""QID164""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166""}","{""ImportId"":""QID167""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169""}","{""ImportId"":""QID170""}","{""ImportId"":""QID171""}","{""ImportId"":""QID172_TEXT""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""QID176""}","{""ImportId"":""QID177""}","{""ImportId"":""QID178""}","{""ImportId"":""QID179""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81_TEXT""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92_TEXT""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104_TEXT""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID130""}","{""ImportId"":""QID132""}","{""ImportId"":""QID133""}","{""ImportId"":""QID134""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136""}","{""ImportId"":""QID137""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139""}","{""ImportId"":""QID157""}","{""ImportId"":""QID114""}","{""ImportId"":""QID140""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID143""}","{""ImportId"":""QID144""}","{""ImportId"":""QID145""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID152""}","{""ImportId"":""QID153""}","{""ImportId"":""QID154""}"
2020-11-09 06:19:40,2020-11-09 06:45:10,IP Address,86.96.85.26,100,1529,True,2020-11-09 06:45:11,R_Cl8rKkP2SKQyOjv,,,,,24.46380615234375,54.363006591796875,anonymous,EN,Select to continue,Yes,20,Female,,Syria,High School,,Islam,,,I am from a country in the Middle East,2,It is immoral to kill someone on purpose in order to save the life of people that were going to die of other causes,6,Yes,Yes,Unsure,No,Yes,Unsure,Yes,Yes,Unsure,It is wrong but I can not think of a reason,,3,3,3,1 Not at all,5,3,6,5,No harm was caused by the son not visiting his mother's grave,6,Yes,No,Yes I have a reason,Yes,No,Yes I have a resaon,Yes,No,Yes I have a reason,There is nothing wrong,,7 Morally right,7 Extremely Confident,1 Not at all,1 Not at all,1 Not at all,7 Extremely,4,1 Morally wrong,"It is immoral to raise the price of the only drug that can cure a disease without considering the economic situation of the less fortunate ",7 Extremely confident,Yes,Yes,Yes I have a reason,Yes,Yes,Yes I have a resaon,Yes,Yes,Yes I have a reason,It is wrong but I can not think of a reason,,1 Morally wrong,6,1 Not at all,1 Not at all,4,5,5,1 Morally wrong,"Because in Islam, eating the meat of a dog is prohibited",7 Extremely confident,Yes,Yes,Yes I have a reason,Yes,Yes,Yes I have a reason,Yes,Yes,Yes I have a reason,It is wrong and I can provide a valid reason,In Islam it is prohibited to eat the meat of a dog,1 Morally wrong,7 Extremely Confident,1 Not at all,1 Not at all,3,7 Extremely,1 Not at all,,,,,,,,,,,9 Always or definitely yes,6,9 Always or definitely yes,3,7,7,9 Always or definitely yes,6,9 Always or definitely yes,5,4,7,9 Always or definitely yes,9 Always or definitely yes,7,9 Always or definitely yes
2020-11-09 06:43:47,2020-11-09 07:03:49,IP Address,2.51.130.224,100,1202,True,2020-11-09 07:03:50,R_2fDpT12z31E7bLo,,,,,25.2633056640625,55.3087005615234375,anonymous,EN,Select to continue,Yes,20,Female,,"Netherlands ",Other (Please Specify),Certification in social media marketing specialisation + certification in animal care,Other (Please Specify),"Not religious ",,I am from a country in the Middle East,1 Morally wrong,He is basically murdering the man. The man did not have a choice or volunteer so it is very wrong to put forward someone else’s life. He should’ve volunteered himself if anything.,7 Extremely confident,Yes,Yes,Yes I have a reason,Yes,Yes,Yes I have a reason,Yes,Yes,Yes I have a reason,It is wrong and I can provide a valid reason,It was not his decision to use that mans life,2,6,3,3,4,4,4,5,"He gave his mother comfort on her dying bed but it would be impossible to stick to this promise for the rest of his life and he shouldn’t feel guilty about this ",6,Yes,No,Yes I have a reason,Yes,No,Yes I have a resaon,Yes,No,Yes I have a reason,There is nothing wrong,,5,6,2,2,2,6,5,3,"The druggist showed little understanding to the mans difficult and painful situation, yet it is his business at hand and his own livelihood too if he sells for cheaper.",5,Yes,Yes,Yes I have a reason,No,Yes,Yes I have a resaon,Yes,Yes,Yes I have a reason,There is nothing wrong,,3,5,5,4,4,4,3,1 Morally wrong,"Despite the fact that it is no different than eating other meat (beef etc), the fact that one can emotionally do this is shocking to me. Considering that I suppose that they held a lot of love for this family pet, it is surprising and wrong that they can bring themselves to do this. ",6,Yes,Yes,Yes I have a reason,Yes,Yes,Yes I have a reason,No,Yes,Yes I have a reason,It is wrong and I can provide a valid reason,"It’s not much different than eating a family member after their passing in my eyes ",1 Morally wrong,7 Extremely Confident,1 Not at all,2,6,4,6,5,5,5,5,6,5,6,7 Strongly agree,3,5,3,3,6,6,6,6,3,6,6,3,3,5,8,7,8,7
2020-11-09 07:11:10,2020-11-09 07:56:10,IP Address,109.177.181.196,100,2700,True,2020-11-09 07:56:11,R_3sz5w3lFvtJgVYl,,,,,25.335693359375,55.395599365234375,anonymous,EN,Select to continue,Yes,19,Female,,"Lebanon ",High School,,Christianity,,,I am from a country in the Middle East,5,He saved 5 people's lives,5,Yes,No,Yes I have a reason,Yes,No,Yes I have a reason,Yes,No,Yes I have a reason,There is nothing wrong,,5,3,5,3,3,7 Extremely,6,2,It should be a priority to visit his mother's grave.,7 Extremely confident,Yes,Yes,Yes I have a reason,Yes,Yes,Yes I have a resaon,Yes,Yes,Yes I have a reason,It is wrong and I can provide a valid reason,"Being busy is understandable, but the death of his mother, and her wish should be given more importance.",3,7 Extremely Confident,1 Not at all,1 Not at all,5,3,7 Extremely,1 Morally wrong,Wanting more money even when the price is someone's life is inherently wrong,7 Extremely confident,Yes,Yes,Yes I have a reason,Yes,Yes,Yes I have a resaon,Yes,Yes,Yes I have a reason,It is wrong and I can provide a valid reason,Someone's life is much more important than profit,1 Morally wrong,7 Extremely,1 Not at all,1 Not at all,6,3,7 Extremely,2,"The pet had sentimental value to them, but they ate it after it died",6,No,Yes,Yes I have a reason,Yes,Yes,Yes I have a reason,Yes,Yes,Yes I have a reason,It is wrong and I can provide a valid reason,"The dog is sentient and had a life too, violating it's death like that is immoral",1 Morally wrong,7 Extremely Confident,1 Not at all,1 Not at all,5,3,7 Extremely,7 Strongly agree,6,6,6,7 Strongly agree,6,2,5,1 Strongly disagree,6,7,7,6,6,9 Always or definitely yes,9 Always or definitely yes,9 Always or definitely yes,9 Always or definitely yes,4,1 Never or definitely no,1 Never or definitely no,1 Never or definitely no,4,4,4,9 Always or definitely yes
2020-11-10 00:23:18,2020-11-10 00:36:51,IP Address,92.97.178.99,100,813,True,2020-11-10 00:36:52,R_29UFhasc4GlPlvz,,,,,25.2633056640625,55.3087005615234375,anonymous,EN,Select to continue,Yes,20,Female,,Philippines,High School,,Christianity,,,I am not from either of these regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10 00:39:27,2020-11-10 01:25:16,IP Address,92.97.178.99,100,2748,True,2020-11-10 01:25:17,R_1j9C79RlCIFKLmZ,,,,,25.2633056640625,55.3087005615234375,anonymous,EN,Select to continue,Yes,16,Male,,Filipino,High School,,Christianity,,,I am from a country in the Middle East,6,"I believe that it’s understandable to do that since the death one life means saving five lives  ",5,No,No,Yes I have a reason,No,Yes,Yes I have a reason,Yes,No,Yes I have a reason,There is nothing wrong,,7 Morally right,6,5,5,1 Not at all,6,1 Not at all,4 Neutral,Since the boy promised I feel like it was morally wrong that he broke the promise but at the same time the boy also had reasons which makes me think that it’s okay that he broke the promise,4 Neutral,Yes,No,Yes I have a reason,No,No,Yes I have a resaon,Yes,No,Yes I have a reason,It is wrong and I can provide a valid reason,"If he’s only trying to get his life to become normal again then I think that he shouldn’t stop going to his mother’s grave since he still made a promise to visit the grave, so he should do so unless their was a reason why he couldn’t attend like he was sick, busy, etc. ",3,4 Neutral,5,3,6,3,4,2,"Since their was a life and death situation so the druggist action wasn’t the best in this situation but I didn’t chose morally wrong since technically he does own the drug ",4 Neutral,Yes,Yes,Yes I have a reason,Yes,Yes,Yes I have a resaon,Yes,Yes,Yes I have a reason,It is wrong but I can not think of a reason,,2,4 Neutral,1 Not at all,1 Not at all,6,4,4,2,I feel as though it’s more morally wrong since it disrespects the corpse of the dog but at the same time I didn’t chose 1 - morally wrong since the dog was killed before already so the dog wouldn’t have felt the pain that was caused by the family’s action,4 Neutral,Yes,No,Yes I have a reason,Yes,No,Yes I have a reason,No,No,Yes I have a reason,There is nothing wrong,,4 Neutral,4 Neutral,4,5,1 Not at all,6,2,4,7 Strongly agree,5,1 Strongly disagree,4,3,5,7 Strongly agree,3,6,3,1 Never or definitely no,2,9 Always or definitely yes,9 Always or definitely yes,9 Always or definitely yes,4,1 Never or definitely no,1 Never or definitely no,1 Never or definitely no,7,5,9 Always or definitely yes,8,9 Always or definitely yes,9 Always or definitely yes
2020-11-10 04:10:08,2020-11-10 04:10:21,IP Address,92.97.178.99,100,12,True,2020-11-10 04:10:21,R_2TYsuTjFFnC3GVl,,,,,25.2633056640625,55.3087005615234375,anonymous,EN,Select to continue,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10 09:54:17,2020-11-10 10:04:43,IP Address,2.50.91.111,100,625,True,2020-11-10 10:04:44,R_3iwNe34sViYwhPb,,,,,25.2633056640625,55.3087005615234375,anonymous,EN,Select to continue,Yes,18,Male,,Sudan,High School,,Other (Please Specify),"Irreligious/Agnostic ",5,I am from a country in North Africa,7 Morally Right,"It is better from a utilitarian perspective ",7 Extremely confident,Yes,No,Yes I have a reason,Yes,No,Yes I have a reason,Yes,No,Yes I have a reason,There is nothing wrong,,7 Morally right,7 Extremely Confident,1 Not at all,1 Not at all,1 Not at all,7 Extremely,2,6,James has his own life and should be able to grieve how he wishes. He also may have legitimately not had the time,7 Extremely confident,Yes,No,Yes I have a reason,Yes,No,Yes I have a resaon,Yes,No,Yes I have a reason,There is nothing wrong,,5,7 Extremely Confident,1 Not at all,1 Not at all,1 Not at all,7 Extremely,4,5,I do not blame the druggist for acting in a cold and capitalist way. He resides in a capitalist society and needs to earn a living as well. It is much more of a systemic issue than anything.,7 Extremely confident,Yes,No,Yes I have a reason,Yes,Yes,Yes I have a resaon,Yes,Yes,Yes I have a reason,There is nothing wrong,,5,7 Extremely,1 Not at all,1 Not at all,1 Not at all,7 Extremely,2,4 Neutral,Njj,6,No,No,Yes I have a reason,No,Yes,Yes I have a reason,Yes,Yes,Yes I have a reason,There is nothing wrong,,1 Morally wrong,6,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,,,,,,,,,,7,3,1 Never or definitely no,1 Never or definitely no,1 Never or definitely no,3,3,7,6,6,5,4,5,5,8,4
2020-11-11 15:57:47,2020-11-11 16:04:15,IP Address,92.97.178.99,100,387,True,2020-11-11 16:04:15,R_xua0SXPfxd6nF4d,,,,,25.2633056640625,55.3087005615234375,anonymous,EN,Select to continue,Yes,20,Female,,"Philippines ",High School,,Christianity,,4,,4 Neutral,Nnnn,4 Neutral,Yes,No,Yes I have a reason,No,Yes,Yes I have a reason,Yes,Yes,Yes I have a reason,There is nothing wrong,,4 Neutral,4 Neutral,4,4,4,4,4,4 Neutral,Nnnn,4 Neutral,No,Yes,Yes I have a reason,No,Yes,Yes I have a resaon,Yes,Yes,Yes I have a reason,There is nothing wrong,,4 Neutral,4 Neutral,4,4,4,4,4,4 Neutral,Nnnn,4 Neutral,Yes,Yes,Yes I have a reason,No,Yes,Yes I have a resaon,Yes,Yes,Yes I have a reason,There is nothing wrong,,4 Neutral,4 Neutral,4,4,4,4,4,4 Neutral,Nnn,4 Neutral,No,Yes,Yes I have a reason,No,Yes,Yes I have a reason,Yes,Yes,Yes I have a reason,There is nothing wrong,,4 Neutral,4 Neutral,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
